ds_name,method,noise_type,noise_level,random_state,accuracy_final,accuracy_max,auroc,fpr,fpr_50,fpr_10
digits,positive,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9926261876175472,0.2555066079295154,0.011111111111111112,0.05263157894736842
digits,entropy,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9656328292537355,0.4459016393442623,0.32575757575757575,0.21739130434782608
digits,cross_val,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9921959039773477,0.26521739130434785,0.03260869565217391,0.0
digits,normalized_margins,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9942675115031473,0.23873873873873874,0.0,0.0
digits,cleanlab,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9666374027524273,0.900946021146355,0.0,0.0
spirals,aum,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.9895335765025848,0.2393617021276596,0.0,0.0
spirals,naive,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.9591775119170933,0.8357541899441341,0.0,0.0
spirals,positive,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.9855914854761191,0.2955665024630542,0.0,0.0
spirals,entropy,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.8860058223162608,0.8067567567567567,0.5279503105590062,0.30434782608695654
spirals,cross_val,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.9940942272667024,0.20555555555555555,0.012987012987012988,0.0
spirals,normalized_margins,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.9942415033947148,0.19662921348314608,0.012987012987012988,0.0
spirals,cleanlab,asymmetric,0.1,46,0.9566666666666667,0.9686666666666667,0.9807902837029147,0.0949367088607595,0.012987012987012988,0.0
letters,aum,asymmetric,0.1,46,0.9272,0.9276,0.9908428308974405,0.28377869777945053,0.0224390243902439,0.009852216748768473
letters,naive,asymmetric,0.1,46,0.9272,0.9276,0.9873703914686741,0.2880658436213992,0.05533596837944664,0.05533596837944664
letters,positive,asymmetric,0.1,46,0.9272,0.9276,0.982848899888598,0.38093689004554326,0.112488928255093,0.0821917808219178
letters,entropy,asymmetric,0.1,46,0.9272,0.9276,0.7041572972082064,0.8568419468893402,0.8439738399252569,0.7771618625277162
letters,cross_val,asymmetric,0.1,46,0.9272,0.9276,0.9834191918452493,0.3575286968264686,0.1256544502617801,0.024271844660194174
letters,normalized_margins,asymmetric,0.1,46,0.9272,0.9276,0.9904306745477705,0.28134441087613293,0.02529182879377432,0.0
letters,cleanlab,asymmetric,0.1,46,0.9272,0.9276,0.9751836347309827,0.12223247232472324,0.02529182879377432,0.0
mushrooms,aum,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,1.0,0.0,0.0,0.0
mushrooms,naive,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,1.0,0.0,0.0,0.0
mushrooms,positive,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,1.0,0.0,0.0,0.0
mushrooms,entropy,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,0.598247638900161,0.8967908621158553,0.8688471502590673,0.8373983739837398
mushrooms,cross_val,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,0.9999979496554994,0.0,0.0,0.0
mushrooms,normalized_margins,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,0.9999979496554994,0.0,0.0,0.0
mushrooms,cleanlab,asymmetric,0.1,46,0.9993845396356474,0.999507631708518,0.9999979496554994,0.0,0.0,0.0
satelite,aum,asymmetric,0.1,46,0.8993006993006993,0.9006993006993007,0.978743700551825,0.45829675153643545,0.1095890410958904,0.0
satelite,naive,asymmetric,0.1,46,0.8993006993006993,0.9006993006993007,0.9650914167940962,0.42065727699530514,0.17926565874730022,0.17926565874730022
satelite,positive,asymmetric,0.1,46,0.8993006993006993,0.9006993006993007,0.9782599561199389,0.44414414414414416,0.11924119241192412,0.04411764705882353
satelite,entropy,asymmetric,0.1,46,0.8993006993006993,0.9006993006993007,0.7695307492852869,0.8345400911772594,0.8021911138161899,0.6813725490196079
satelite,cross_val,asymmetric,0.1,46,0.8993006993006993,0.9006993006993007,0.9749008709527293,0.3915187376725838,0.21875,0.2857142857142857
satelite,normalized_margins,asymmetric,0.1,46,0.8993006993006993,0.9006993006993007,0.9795053520377635,0.3632610939112487,0.14698162729658792,0.07142857142857142
